YEAR,median_nom_R1F,median_nom_RCD,median_adj_R1F,median_adj_RCD,count_R1F,count_RCD
1990,139000.0,136000.0,324050.0,317056.0,1088.0,2263.0
1991,130000.0,120000.0,290830.0,268458.0,767.0,1864.0
1992,125000.0,112000.0,271472.0,243239.0,883.0,1910.0
1993,120000.0,112000.0,253038.0,236169.0,1158.0,2376.0
1994,120000.0,122500.0,246721.0,251861.0,1516.0,2595.0
1995,117000.0,125000.0,233923.0,249918.0,1420.0,2693.0
1996,128250.0,135000.0,249061.5,262170.0,1464.0,3435.0
1997,135000.0,147500.0,256290.0,280020.0,1243.0,3187.0
1998,158000.0,165000.0,295353.0,308439.0,1473.0,4530.0
1999,184000.0,180000.0,336523.0,329208.0,1555.0,5131.0
2000,218000.0,236750.0,385741.0,418918.5,1312.0,4730.0
2001,255000.0,255000.0,438727.0,438727.0,1174.0,3908.0
2002,297500.0,299000.0,503881.0,506422.0,1353.0,4790.0
2003,333000.0,315000.0,551441.0,521633.0,1291.0,4591.0
2004,370000.0,349000.0,596818.0,562945.0,1719.0,7241.0
2005,388341.0,350941.0,605876.0,547525.5,1542.0,7162.0
2006,370500.0,350000.0,559977.0,528993.0,1290.0,6488.0
2007,370000.0,355000.0,543845.0,521797.0,1177.0,6131.0
2008,335000.0,370000.0,474104.0,523637.0,969.0,4927.0
2009,333000.0,338000.0,473031.0,480133.0,961.0,4353.0
2010,350000.0,360000.0,488973.0,502944.0,979.0,4330.0
2011,350000.0,378000.0,474189.0,512124.0,895.0,3947.0
2012,350000.0,399000.0,464482.0,529509.0,1187.0,4880.0
2013,398000.0,439300.0,520475.0,574483.5,1329.0,5278.0
2014,430000.0,470000.0,553532.0,605023.0,1182.0,4885.0
2015,450000.0,525000.0,578544.0,674968.0,1298.0,5153.0
2016,485000.0,592635.0,615748.0,752399.5,1381.0,5646.0
2017,550000.0,590000.0,683741.0,733468.0,1266.0,5170.0
2018,600000.0,659000.0,728076.0,799671.0,1314.0,5698.0
2019,609290.0,662000.0,726049.0,788860.0,1204.0,5495.0
2020,675000.0,679000.0,794716.0,799425.0,1073.0,5234.0
2021,725000.0,699000.0,815157.0,785924.0,1437.0,7072.0
2022,750000.0,727000.0,780748.0,756805.0,1148.0,5588.0
2023,765000.0,725000.0,765000.0,725000.0,834.0,4060.0
